講義名,平均評価ポイント,自由記述
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 社会や環境についての理解が深まった。ありがとうございました。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 環境社会学を通して環境に対する意識が今までに比べてよくなったと思う。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / わかりやすい講義をありがとうございました。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 環境と社会との関わりや、人々の環境意識について知ることが出来て、より環境について深く知ることが出来た。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 人々が環境に対してどのように考えているかを知ることができてよかったです。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 環境社会学について深く学ぶことが出来ました。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 環境と社会の関わりについて学ぶことが出来た。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 現代社会において、人々の環境問題の認知や考え方についてや、環境問題に関わるさまざまな概念について学ぶことができた。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 社会と環境の関わりをしれた
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / 実際に自分でデータを抽出するなどの普段やることのない作業をやることが出来た。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / JUMPソフトの使い方が難しくてよく分からなかった。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / JUMPなどを使い、今後も必要になる分析力を鍛えることが出来たと思います。
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / ありがとうございました
1923207　環境社会学,平均評価ポイント　　3.46,2024/12/20（金）　～　2025/01/16（木） / レジュメが見やすかった
